ticker,date,quarter,year,net_sentiment,avg_positive,avg_negative,avg_neutral,sentences_scored,same_day_close,next_day_open,next_day_close,overnight_gap,intraday_return,next_day_return,xlk_overnight_gap,abnormal_return
CRM,2022-08-24,Q3,2022,0.234414,0.314178,0.079764,0.606059,436,177.3663,166.1042,171.3559,-0.063496,0.031617,-0.033887,0.002575,-0.066071
CRM,2022-11-30,Q4,2022,0.247571,0.342938,0.095367,0.561695,441,157.8965,145.383,144.8411,-0.079251,-0.003728,-0.082683,0.000956,-0.080207
CRM,2023-03-01,Q1,2023,0.289853,0.374274,0.084421,0.541306,455,164.8922,190.2838,183.8497,0.153989,-0.033813,0.114969,-0.00273,0.156719
CRM,2023-05-31,Q2,2023,0.230414,0.306059,0.075644,0.618297,447,220.0994,205.162,209.7733,-0.067866,0.022476,-0.046916,-0.003165,-0.064701
CRM,2023-08-30,Q3,2023,0.308717,0.370677,0.06196,0.567362,419,211.8818,224.6515,218.2075,0.060268,-0.028684,0.029855,0.002288,0.05798
CRM,2023-11-30,Q4,2023,0.275552,0.341583,0.066031,0.592386,469,248.2005,246.3284,256.1815,-0.007543,0.04,0.032156,-0.002592,-0.00495
CRM,2024-02-28,Q1,2024,0.239702,0.299923,0.060221,0.639857,614,295.3675,295.5941,304.2845,0.000767,0.0294,0.03019,0.005325,-0.004558
CSCO,2021-11-17,Q4,2021,0.267652,0.375727,0.108076,0.516197,459,49.8562,46.3164,47.1069,-0.071001,0.017068,-0.055144,0.00576,-0.076761
CSCO,2022-02-16,Q1,2022,0.257065,0.364993,0.107928,0.52708,421,47.9393,49.0439,49.2825,0.023041,0.004865,0.028018,-0.009323,0.032364
CSCO,2022-05-18,Q2,2022,0.10249,0.264119,0.161628,0.574253,473,43.0302,38.3098,37.122,-0.109698,-0.031007,-0.137304,-0.007488,-0.102211
CSCO,2022-08-17,Q3,2022,0.238673,0.376159,0.137487,0.486354,458,41.8935,44.7083,44.3267,0.067188,-0.008535,0.05808,0.001,0.066189
CSCO,2022-11-17,Q4,2022,0.198375,0.355933,0.157557,0.48651,409,42.2108,42.5007,43.298,0.006868,0.018759,0.025757,0.011293,-0.004425
CSCO,2023-02-15,Q1,2023,0.25191,0.381332,0.129421,0.489247,834,44.2467,45.6531,46.5664,0.031785,0.020004,0.052425,-0.014505,0.04629
CSCO,2023-05-17,Q2,2023,0.289175,0.403993,0.114818,0.481189,308,43.8252,42.1046,44.3497,-0.039261,0.053322,0.011967,0.001231,-0.040492
CSCO,2023-08-16,Q3,2023,0.267016,0.360356,0.09334,0.546304,860,49.0984,50.4705,50.7394,0.027946,0.005327,0.033421,0.00445,0.023496
CSCO,2023-11-15,Q4,2023,0.251204,0.360147,0.108943,0.53091,285,49.7542,44.2726,44.8609,-0.110173,0.013288,-0.098348,-0.001975,-0.108198
CSCO,2024-02-14,Q1,2024,0.18309,0.299716,0.116627,0.583657,706,47.3152,45.4096,46.1672,-0.040274,0.016682,-0.024264,0.001318,-0.041592
CSCO,2024-05-15,Q2,2024,0.256251,0.347097,0.090846,0.562057,422,47.1248,47.5138,45.8629,0.008254,-0.034744,-0.026777,0.000587,0.007668
CSCO,2024-08-14,Q3,2024,0.269175,0.352525,0.08335,0.564125,422,43.4812,46.6485,46.438,0.072843,-0.004513,0.068002,0.012939,0.059904
CTSH,2022-05-04,Q2,2022,0.307751,0.412508,0.104757,0.482735,396,78.9259,73.6772,68.859,-0.066501,-0.065397,-0.127549,-0.014711,-0.05179
CTSH,2022-07-27,Q3,2022,0.30646,0.440825,0.134365,0.42481,364,66.0241,61.084,62.7652,-0.074822,0.027522,-0.04936,0.001144,-0.075966
CTSH,2022-11-02,Q4,2022,0.203031,0.366966,0.163935,0.469099,406,56.8158,49.1316,48.9902,-0.135247,-0.002879,-0.137736,-0.013968,-0.121279
CTSH,2023-02-02,Q1,2023,0.252255,0.350581,0.098325,0.551094,379,66.9239,62.5292,64.6129,-0.065667,0.033323,-0.034532,-0.017208,-0.048459
CTSH,2023-05-03,Q2,2023,0.236547,0.361361,0.124814,0.513825,355,56.0104,59.1686,59.7965,0.056386,0.010611,0.067595,-0.00398,0.060366
CTSH,2023-08-02,Q3,2023,0.247201,0.366261,0.119061,0.514678,365,62.4389,66.892,67.3412,0.071319,0.006714,0.078512,-0.00815,0.079469
CTSH,2024-02-06,Q1,2024,0.283604,0.386339,0.102736,0.510925,398,75.8654,72.8879,75.162,-0.039248,0.0312,-0.009272,0.007038,-0.046286
CTSH,2024-05-01,Q2,2024,0.242178,0.351,0.108822,0.540178,395,63.237,65.2007,64.1076,0.031054,-0.016766,0.013768,0.012766,0.018288
CTSH,2024-07-31,Q3,2024,0.33461,0.414944,0.080334,0.504722,371,73.5299,75.784,74.1421,0.030655,-0.021667,0.008325,-0.002742,0.033398
CTSH,2024-10-30,Q4,2024,0.380672,0.45102,0.070348,0.478632,390,72.5249,75.9195,72.759,0.046806,-0.041629,0.003228,-0.010975,0.057781
EPAM,2022-05-05,Q2,2022,0.195341,0.326691,0.131349,0.54196,317,346.0,352.02,347.0,0.017399,-0.014261,0.00289,-0.009103,0.026502
EPAM,2022-08-04,Q3,2022,0.190339,0.330808,0.140469,0.528724,351,415.39,405.2,427.39,-0.024531,0.054763,0.028889,-0.016015,-0.008516
EPAM,2022-11-03,Q4,2022,0.18518,0.326722,0.141542,0.531736,355,301.01,304.87,312.52,0.012823,0.025093,0.038238,0.020788,-0.007964
EPAM,2023-02-16,Q1,2023,0.140802,0.312375,0.171573,0.516053,372,346.01,335.0,338.21,-0.03182,0.009582,-0.022543,-0.007133,-0.024687
EPAM,2023-05-05,Q2,2023,0.098932,0.270325,0.171393,0.558281,350,242.47,241.45,231.82,-0.004207,-0.039884,-0.043923,-0.001917,-0.002289
EPAM,2023-08-03,Q3,2023,0.133121,0.300239,0.167118,0.532643,374,245.02,246.47,246.97,0.005918,0.002029,0.007959,-0.0034,0.009318
EPAM,2023-11-02,Q4,2023,0.050994,0.260368,0.209374,0.530258,372,232.31,237.26,240.7,0.021308,0.014499,0.036116,-0.001,0.022308
EPAM,2024-02-15,Q1,2024,0.13107,0.311794,0.180724,0.507482,332,301.2,300.0,311.98,-0.003984,0.039933,0.03579,0.00269,-0.006674
EPAM,2024-05-09,Q2,2024,0.078717,0.27185,0.193133,0.535017,368,181.93,182.98,183.4,0.005771,0.002295,0.00808,0.005225,0.000546
EPAM,2024-08-08,Q3,2024,0.188893,0.32349,0.134598,0.541912,370,191.16,193.94,193.21,0.014543,-0.003764,0.010724,-0.000586,0.015129
EPAM,2024-11-07,Q4,2024,0.335081,0.460143,0.125061,0.414796,209,232.92,234.73,233.45,0.007771,-0.005453,0.002275,-0.001264,0.009034
FFIV,2022-01-25,Q1,2022,0.13069,0.292778,0.162087,0.545135,383,221.14,195.0,202.49,-0.118206,0.03841,-0.084336,0.027188,-0.145393
FFIV,2022-04-26,Q2,2022,0.112665,0.275172,0.162507,0.56232,370,193.91,172.79,169.01,-0.108917,-0.021876,-0.12841,0.011157,-0.120074
FFIV,2022-07-25,Q3,2022,0.185479,0.29354,0.108061,0.598399,316,154.41,165.87,159.31,0.074218,-0.039549,0.031734,-0.000807,0.075025
FFIV,2022-10-25,Q4,2022,0.201428,0.334465,0.133037,0.532498,390,153.47,140.89,142.39,-0.08197,0.010647,-0.072197,-0.02522,-0.056751
FFIV,2023-01-24,Q1,2023,0.153072,0.290713,0.137641,0.571646,384,146.47,138.67,145.49,-0.053253,0.049182,-0.006691,-0.016906,-0.036347
FFIV,2023-04-19,Q2,2023,0.130844,0.291383,0.16054,0.548077,310,137.05,128.03,134.16,-0.065815,0.047879,-0.021087,-0.009181,-0.056634
FFIV,2023-07-24,Q3,2023,0.192844,0.339139,0.146295,0.514566,353,150.21,164.97,158.98,0.098262,-0.03631,0.058385,0.003231,0.095032
FFIV,2023-10-24,Q4,2023,0.221442,0.352603,0.13116,0.516237,446,148.24,147.1,151.68,-0.00769,0.031135,0.023206,0.00478,-0.012471
FFIV,2024-01-29,Q1,2024,0.243801,0.350264,0.106462,0.543274,379,185.37,195.01,186.84,0.052004,-0.041895,0.00793,-0.000344,0.052348
FFIV,2024-04-29,Q2,2024,0.209441,0.30649,0.097049,0.596461,365,182.13,162.25,165.31,-0.109153,0.01886,-0.092352,-0.003438,-0.105715
FFIV,2024-07-29,Q3,2024,0.271983,0.367445,0.095462,0.537092,370,177.59,199.64,200.66,0.124162,0.005109,0.129906,0.003715,0.120447
FFIV,2024-10-28,Q4,2024,0.295198,0.390639,0.095441,0.51392,417,218.36,242.03,240.33,0.108399,-0.007024,0.100614,0.001911,0.106488
FTNT,2022-05-04,Q2,2022,0.277187,0.350123,0.072937,0.57694,337,57.474,60.6,56.904,0.05439,-0.06099,-0.009918,-0.014711,0.069101
FTNT,2022-08-03,Q3,2022,0.277171,0.366419,0.089248,0.544332,389,62.88,56.83,52.61,-0.096215,-0.074257,-0.163327,-0.000341,-0.095874
FTNT,2022-11-02,Q4,2022,0.26416,0.362202,0.098042,0.539756,412,53.23,45.55,45.93,-0.14428,0.008342,-0.137141,-0.013968,-0.130311
FTNT,2023-02-07,Q1,2023,0.241347,0.32574,0.084393,0.589867,822,53.78,60.75,59.64,0.129602,-0.018272,0.108962,0.001951,0.127651
FTNT,2023-05-04,Q2,2023,0.289803,0.367336,0.077533,0.555131,384,61.18,60.75,64.59,-0.007028,0.06321,0.055737,0.009692,-0.016721
FTNT,2023-08-03,Q3,2023,0.223201,0.333186,0.109985,0.55683,356,75.76,60.42,56.77,-0.202482,-0.06041,-0.25066,-0.0034,-0.199081
FTNT,2023-11-02,Q4,2023,0.229606,0.335185,0.105579,0.559237,359,57.59,44.5,50.48,-0.227296,0.134382,-0.123459,-0.001,-0.226296
FTNT,2024-02-06,Q1,2024,0.253411,0.318659,0.065249,0.616092,397,67.48,73.83,70.03,0.094102,-0.05147,0.037789,0.007038,0.087064
FTNT,2024-05-02,Q2,2024,0.205857,0.296887,0.09103,0.612082,361,65.2,61.86,58.88,-0.051227,-0.048173,-0.096933,0.027048,-0.078275
FTNT,2024-08-06,Q3,2024,0.326833,0.384726,0.057892,0.557382,711,55.81,65.68,69.93,0.17685,0.064708,0.253001,0.024229,0.152622
FTNT,2024-11-07,Q4,2024,0.286454,0.34439,0.057936,0.597675,383,83.68,84.5,92.04,0.009799,0.089231,0.099904,-0.001264,0.011063
GEN,2021-07-27,Q3,2021,0.329696,0.392973,0.063278,0.543749,238,23.0866,22.9757,22.8963,-0.004804,-0.003455,-0.008242,0.000327,-0.005131
GEN,2021-11-05,Q4,2021,0.419849,0.466054,0.046205,0.487741,156,22.5522,22.7161,23.5628,0.007267,0.037275,0.044812,0.003232,0.004035
GEN,2022-02-03,Q1,2022,0.357948,0.40525,0.047302,0.547448,245,23.2231,23.651,25.2453,0.018424,0.067411,0.087076,-0.005347,0.023771
GEN,2022-05-05,Q2,2022,0.333153,0.417417,0.084264,0.498319,233,22.1597,21.6404,22.7019,-0.023434,0.049055,0.024471,-0.009103,-0.014331
GEN,2022-08-04,Q3,2022,0.317654,0.394691,0.077037,0.528272,278,24.5715,24.2759,22.3638,-0.01203,-0.078767,-0.08985,-0.016015,0.003985
GEN,2022-11-08,Q4,2022,0.326722,0.406477,0.079754,0.513769,312,20.0773,20.6717,21.2846,0.029602,0.02965,0.06013,-0.00926,0.038862
GEN,2023-02-02,Q1,2023,0.347425,0.450674,0.103248,0.446078,196,22.0091,21.5796,19.8895,-0.019516,-0.078321,-0.096309,-0.017208,-0.002309
GEN,2023-05-11,Q2,2023,0.374659,0.436476,0.061818,0.501706,287,16.1174,15.892,15.2346,-0.013986,-0.041371,-0.054779,0.00172,-0.015706
GEN,2023-08-03,Q3,2023,0.403819,0.456942,0.053124,0.489934,296,17.6237,17.9076,19.0245,0.016112,0.062368,0.079484,-0.0034,0.019512
GEN,2024-02-01,Q1,2024,0.320271,0.397877,0.077606,0.524516,279,22.9168,21.4414,20.3397,-0.064381,-0.051385,-0.112458,-0.006794,-0.057587
GEN,2024-05-09,Q2,2024,0.338531,0.418139,0.079608,0.502254,281,19.6009,21.6535,22.6075,0.10472,0.044059,0.153392,0.005225,0.099495
GLW,2022-04-26,Q2,2022,0.335283,0.423041,0.087757,0.489202,396,31.8563,31.9281,32.3678,0.002254,0.013772,0.016056,0.011157,-0.008904
GLW,2022-07-26,Q3,2022,0.251549,0.406547,0.154998,0.438455,399,31.5913,31.6546,32.5045,0.002003,0.026849,0.028907,0.016475,-0.014472
GLW,2022-10-25,Q4,2022,0.199988,0.375459,0.175472,0.449069,321,28.9133,28.6399,29.5147,-0.009455,0.030544,0.020801,-0.02522,0.015765
GLW,2023-01-31,Q1,2023,0.1757,0.357233,0.181532,0.461235,344,31.7934,31.7108,32.4089,-0.0026,0.022016,0.019359,-0.000736,-0.001865
GLW,2023-04-25,Q2,2023,0.191665,0.341144,0.149479,0.509377,320,30.46,30.2285,29.858,-0.007601,-0.012255,-0.019763,0.017573,-0.025174
GLW,2023-07-25,Q3,2023,0.277025,0.382514,0.105489,0.511998,359,31.7709,31.4906,32.1447,-0.008824,0.020772,0.011765,-0.010479,0.001655
GLW,2023-10-24,Q4,2023,0.196111,0.320516,0.124405,0.55508,342,25.3136,24.9366,25.2382,-0.014892,0.012094,-0.002978,0.00478,-0.019672
GLW,2024-01-30,Q1,2024,0.20618,0.357145,0.150965,0.49189,343,31.6924,31.7114,30.9215,0.000601,-0.02491,-0.024324,-0.009509,0.010109
GLW,2024-04-30,Q2,2024,0.330423,0.437399,0.106976,0.455626,674,32.0457,32.0841,32.1417,0.001198,0.001795,0.002996,-0.00535,0.006548
GLW,2024-07-30,Q3,2024,0.302415,0.358312,0.055897,0.585792,329,38.4382,39.3764,38.6994,0.024409,-0.017195,0.006794,0.03087,-0.006462
GLW,2024-10-29,Q4,2024,0.40782,0.479633,0.071813,0.448554,282,47.7412,47.6341,46.7772,-0.002244,-0.017989,-0.020192,-0.009129,0.006886
HPE,2022-03-01,Q1,2022,0.298152,0.38955,0.091398,0.519052,414,13.6551,14.3728,15.0551,0.052563,0.047472,0.102531,0.007351,0.045212
HPE,2022-06-01,Q2,2022,0.283024,0.414433,0.131408,0.454159,366,14.0855,13.2375,13.3535,-0.060203,0.008766,-0.051965,-0.00707,-0.053133
HPE,2022-08-30,Q3,2022,0.333956,0.440032,0.106076,0.453892,383,12.287,12.341,12.242,0.004396,-0.008023,-0.003663,0.006003,-0.001608
HPE,2022-11-29,Q4,2022,0.372014,0.471254,0.09924,0.429506,410,14.0406,14.313,15.2394,0.019405,0.064721,0.085382,-0.000463,0.019868
HPE,2023-03-02,Q1,2023,0.356827,0.444898,0.088071,0.467031,425,14.1808,14.5285,13.9796,0.024516,-0.037783,-0.014194,0.006414,0.018102
HPE,2023-05-30,Q2,2023,0.298031,0.409999,0.111968,0.478032,426,14.3182,12.7868,13.3034,-0.106959,0.040404,-0.070876,-0.005735,-0.101224
HPE,2023-08-29,Q3,2023,0.344325,0.431792,0.087467,0.480741,424,15.6469,15.2195,16.1301,-0.027316,0.059829,0.030879,0.000173,-0.027489
HPE,2023-11-28,Q4,2023,0.373963,0.459717,0.085754,0.454529,405,14.5236,15.188,15.4594,0.045747,0.017868,0.064433,0.007307,0.03844
HPE,2024-02-29,Q1,2024,0.237019,0.365552,0.128533,0.505915,402,14.3654,13.7051,14.6767,-0.045962,0.070888,0.021668,0.002561,-0.048523
HPE,2024-06-04,Q2,2024,0.340135,0.437498,0.097363,0.465139,389,16.724,19.3371,18.5104,0.15625,-0.042752,0.106818,0.00791,0.14834
HPE,2024-09-04,Q3,2024,0.390472,0.472261,0.081789,0.44595,388,17.9419,16.3934,16.8618,-0.086308,0.028571,-0.060202,-0.007202,-0.079106
HPE,2024-12-05,Q4,2024,0.344361,0.426744,0.082383,0.490873,412,20.8376,21.8286,23.0513,0.047561,0.05601,0.106236,0.001751,0.045811
HPQ,2022-02-28,Q1,2022,0.255439,0.412622,0.157183,0.430195,359,29.2663,29.1385,29.0193,-0.004366,-0.004092,-0.00844,-0.003765,-0.000601
HPQ,2022-05-31,Q2,2022,0.234172,0.412036,0.177865,0.410099,361,33.3143,34.1034,34.6009,0.023687,0.014588,0.03862,0.010751,0.012936
HPQ,2022-08-30,Q3,2022,0.158328,0.37493,0.216602,0.408467,399,26.8449,25.4638,24.7819,-0.051447,-0.02678,-0.076849,0.006003,-0.05745
HPQ,2022-11-22,Q4,2022,0.223268,0.397288,0.17402,0.428692,472,25.5954,25.3689,26.0571,-0.00885,0.027129,0.018039,-0.002177,-0.006672
HPQ,2023-02-28,Q1,2023,0.199817,0.38087,0.181053,0.438078,448,25.9512,26.338,25.371,0.014905,-0.036716,-0.022358,0.000439,0.014466
HPQ,2023-05-30,Q2,2023,0.281567,0.414802,0.133234,0.451964,380,27.4487,26.4193,25.7892,-0.037504,-0.02385,-0.060459,-0.005735,-0.031769
HPQ,2023-08-29,Q3,2023,0.181806,0.36236,0.180554,0.457086,418,28.0758,25.9726,26.2142,-0.074912,0.009304,-0.066305,0.000173,-0.075085
HPQ,2023-11-21,Q4,2023,0.302506,0.469064,0.166558,0.364377,360,25.1696,25.7024,25.883,0.02117,0.007027,0.028346,0.006306,0.014864
HPQ,2024-02-28,Q1,2024,0.323353,0.479939,0.156586,0.363476,281,26.1737,25.3899,25.8183,-0.029944,0.01687,-0.013579,0.005325,-0.035269
HPQ,2024-05-29,Q2,2024,0.305875,0.439583,0.133708,0.426709,364,30.1621,31.6334,35.2749,0.04878,0.115116,0.169512,-0.01113,0.059911
HPQ,2024-08-28,Q3,2024,0.360958,0.492436,0.131478,0.376085,365,32.2071,31.6049,32.8557,-0.0187,0.039578,0.020138,0.000273,-0.018973
HPQ,2024-11-26,Q4,2024,0.368397,0.459796,0.091399,0.448805,379,36.5276,34.1547,32.3797,-0.064962,-0.051969,-0.113555,-0.006773,-0.058189
IBM,2022-04-19,Q2,2022,0.314481,0.3964,0.081919,0.521681,474,110.882,115.9045,118.7549,0.045296,0.024593,0.071003,0.009674,0.035622
IBM,2022-07-18,Q3,2022,0.300402,0.405877,0.105475,0.488649,435,120.0472,114.3547,113.7463,-0.047419,-0.00532,-0.052487,0.011137,-0.058556
IBM,2022-10-19,Q4,2022,0.354359,0.426394,0.072034,0.501572,437,107.829,111.1208,112.9251,0.030528,0.016238,0.047261,0.00033,0.030198
IBM,2023-01-25,Q1,2023,0.329852,0.419323,0.08947,0.491207,441,125.3799,122.5028,119.7593,-0.022947,-0.022395,-0.044828,0.009777,-0.032724
IBM,2023-04-19,Q2,2023,0.261637,0.368253,0.106616,0.525131,434,113.9057,117.3593,113.9418,0.03032,-0.02912,0.000317,-0.009181,0.039501
IBM,2023-07-19,Q3,2023,0.266843,0.359025,0.092182,0.548793,455,123.8392,125.4022,126.49,0.012622,0.008674,0.021405,-0.006396,0.019017
IBM,2023-10-25,Q4,2023,0.34146,0.425757,0.084297,0.489946,393,126.7614,131.496,132.9386,0.03735,0.01097,0.048731,0.001776,0.035575
IBM,2024-01-24,Q1,2024,0.386065,0.460041,0.073976,0.465984,432,162.6586,172.9738,178.0893,0.063416,0.029574,0.094866,0.0092,0.054216
IBM,2024-04-24,Q2,2024,0.383946,0.45053,0.066584,0.482886,432,173.7197,158.7162,159.3862,-0.086366,0.004221,-0.08251,-0.012473,-0.073893
IBM,2024-07-24,Q3,2024,0.320168,0.400158,0.079989,0.519853,420,175.3883,178.0379,182.9749,0.015107,0.02773,0.043256,-0.001065,0.016172
IBM,2024-10-23,Q4,2024,0.312244,0.420773,0.108529,0.470697,365,223.7676,212.2788,209.9618,-0.051343,-0.010915,-0.061697,0.004071,-0.055414
INTC,2022-04-28,Q2,2022,0.380933,0.469131,0.088198,0.442671,400,43.753,42.0249,40.7172,-0.039496,-0.031118,-0.069385,-0.01091,-0.028586
INTC,2022-07-28,Q3,2022,0.240886,0.378264,0.137378,0.484358,460,37.3964,33.5306,34.1945,-0.103374,0.019801,-0.085621,0.003098,-0.106472
INTC,2022-10-27,Q4,2022,0.273414,0.391661,0.118248,0.490091,393,24.9927,26.8051,27.6566,0.072516,0.031766,0.106585,0.005556,0.06696
